doc,class
product_type-shirt sleeve_style-long_sleeve neckline-collar cut-button fit-regular color-gray,1
product_type-shirt fit-slim color-green neckline-point_collar neckline-button_collar cut-narrow,1
product_type-shirt color-pattern color-blue color_group-dark sleeve_style-short_sleeve neckline-point_collar neckline-button_collar cut-pocket fit-regular_fit style-classic,1
product_type-shirt fabric-velvet neckline-point_collar neckline-button_collar fit-regular_fit color-blue color_group-dark,1
product_type-shirt neckline-reverecollar neckline-button_collar sleeve_style-short_sleeve color-pattern color-white color_group-pale fit-regular,1
product_type-shirt color-pattern color-white color_group-pale neckline-reverecollar neckline-button_collar fit-regular_fit,1
product_type-shirt style-vintage color-pattern color-pink color_group-pattern neckline-reverecollar neckline-button_collar cut-pocket fit-relaxed fit-loose fit-oversized,1
product_type-shirt fabric-jersey fit-regular color-green color_group-bright neckline-collar cut-button,1
product_type-shirt color-pattern color-gray color_group-pattern fit-regular fabric-wovencotton neckline-button_collar,1
product_type-shirt fit-regular neckline-point_collar cut-button style-classic color-blue color_group-dark,1
product_type-shirt sleeve_style-short_sleeve fit-slim neckline-collar neckline-reverecollar neckline-button_collar color-blue color_group-dark cut-narrow,1
product_type-shirt cut-button_down cut-narrow fit-slim fabric-poplin color-black color_group-dark neckline-button_collar,1
product_type-shirt fit-slim cut-button_down cut-narrow neckline-button_collar sleeve_style-long_sleeve,1
product_type-shirt fabric-poplin sleeve_style-short_sleeve cut-button_down neckline-button_collar fit-regular_fit style-classic color-blue,1
product_type-shirt fit-slim cut-button_down color-green neckline-button_collar,1
product_type-shirt sleeve_style-short_sleeve neckline-reverecollar neckline-button_collar fabric-denim cut-pocket fit-regular_fit style-classic color-blue,1
product_type-shirt fit-regular_fit fabric-denim color-gray neckline-collar cut-pocket,1
product_type-shirt color-pattern color-blue color_group-pattern color_group-dark neckline-reverecollar neckline-button_collar fit-regular_fit,1
product_type-shirt color-blue color-pattern color-green color_group-dark cut-button_down cut-pocket neckline-button_collar fit-regular_fit,1
product_type-shirt fit-slim color-blue cut-button_down cut-pocket cut-narrow neckline-button_collar,1
product_type-shirt color-blue color_group-bright color_group-cool_color cut-button_down cut-pocket fabric-cotton sleeve_style-long_sleeve neckline-button_collar fit-regular style-classic,1
product_type-shirt neckline-reverecollar sleeve_style-short_sleeve color-pattern color-blue color_group-dark cut-button fit-regular_fit,1
product_type-shirt fit-regular_fit color-white color_group-pale style-classic neckline-point_collar sleeve_style-short_sleeve cut-button cut-pocket,1
product_type-shirt color-gray neckline-point_collar cut-button fit-regular style-classic,1
product_type-shirt sleeve_style-short_sleeve color-pattern color-gray color_group-pattern color_group-pale neckline-reverecollar neckline-button_collar fit-regular_fit fit-classicfit,1
product_type-shirt cut-button_down cut-narrow fit-slim fabric-poplin color-blue color_group-bright color_group-dark color_group-cool_color neckline-button_collar,1
product_type-shirt sleeve_style-short_sleeve fabric-viscose color-pattern color-purple neckline-point_collar neckline-button_collar fit-regular_fit style-classic,1
product_type-shirt fit-regular color-blue color-pattern color_group-pattern style-classic neckline-point_collar neckline-button_collar,1
product_type-shirt fit-regular sleeve_style-short_sleeve fabric-denim color-blue color_group-pale neckline-point_collar neckline-button_collar cut-pocket style-classic,1
product_type-shirt sleeve_style-short_sleeve color-pattern color-white color_group-pale neckline-button_collar fit-regular_fit,1
product_type-shirt fabric-mesh color-pattern color-white color_group-pattern color_group-pale neckline-point_collar neckline-button_collar fit-regular_fit,1
product_type-shirt neckline-baseball_collar neckline-button_collar sleeve_style-short_sleeve color-white color_group-pale fit-regular_fit,1
