doc,class
product_type-shirt cut-ruffle cut-concealed_button fabric-woven style-classic neckline-point_collar fit-regular_fit color-pink,0
product_type-shirt color-pattern color_group-pattern fabric-woven fabric-cotton fabric-viscose neckline-point_collar neckline-collar_button cut-cropped fit-regular_fit,0
product_type-shirt fit-oversize fit-oversized cut-pocket cut-concealed_button cut-front_pocket cut-side_split fabric-cotton neckline-point_collar color-blue,0
product_type-shirt cut-frill cut-cropped fabric-woven fabric-polyester fabric-cotton color-pattern color_group-pattern neckline-collar_button fit-regular_fit,0
product_type-shirt fabric-woven neckline-point_collar neckline-collar_button fit-relaxed color-pink,0
product_type-shirt cut-pocket neckline-collar neckline-point_collar neckline-collar_button fabric-corduroy fabric-woven fabric-cotton fit-regular_fit color-brown color_group-pale,0
product_type-shirt fabric-woven fabric-cotton fabric-viscose neckline-point_collar neckline-collar_button cut-pocket fit-relaxed color-blue,0
product_type-shirt fit-oversize fit-relaxed cut-pocket fabric-woven_cotton fabric-cotton neckline-point_collar neckline-collar_button color_group-pale,0
product_type-shirt cut-frill cut-button fabric-woven_cotton fabric-cotton neckline-round_neck fit-regular_fit color_group-pale,0
product_type-shirt cut-frill fabric-woven fabric-cotton neckline-high_neck neckline-neckline_button fit-regular_fit color-blue,0
product_type-shirt cut-wrap cut-wrap_front cut-cuff cut-cropped fabric-woven fabric-cotton neckline-crew_neck fit-regular_fit,0
product_type-shirt fit-oversize fit-oversized color-pattern color_group-pattern fabric-flannel fabric-cotton neckline-point_collar neckline-collar_button cut-cropped,0
product_type-shirt fabric-woven fabric-cotton fabric-viscose neckline-collar_button cut-pocket fit-regular_fit color-white color_group-pale,0
product_type-shirt sleeve_style-cold_shoulder fabric-woven_cotton fabric-cotton neckline-neckline_button fit-relaxed,0
product_type-shirt neckline-collar fabric-cotton cut-tie_detail cut-button fit-regular_fit color-white color_group-pale,0
product_type-shirt neckline-collar fabric-cotton cut-tie_detail cut-button fit-regular_fit color-white color_group-pale,0
product_type-shirt fabric-lace fabric-woven_cotton fabric-cotton neckline-point_collar neckline-collar_button color-pattern color-white color_group-pattern color_group-pale fit-regular_fit,0
