doc,class
product_type-shirt sleeve_style-short_sleeve color-pattern color-gray color_group-pattern color_group-dark cut-button cut-pocket neckline-grandad neckline-collar fit-regular_fit style-classic,0
product_type-shirt fit-slim neckline-collar neckline-collar_button color-white color_group-pale cut-narrow,0
product_type-shirt fit-slim color-blue color_group-pale neckline-collar_button cut-narrow,0
product_type-shirt fit-skinny sleeve_style-short_sleeve neckline-collar_button color-white color_group-pale,0
product_type-shirt length-short color-pattern color-green color_group-pattern color_group-bright color_group-cool_color neckline-grandad neckline-collar_button cut-pocket fit-regular_fit style-classic,0
product_type-shirt color-pattern color-white color_group-pattern color_group-pale sleeve_style-long_sleeve cut-button_down neckline-collar_button fit-regular_fit style-classic,0
product_type-shirt fit-slim fabric-poplin color-blue color_group-dark neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt color-blue color_group-dark fabric-poplin fit-slim neckline-point_collar neckline-collar_button cut-narrow,0
product_type-shirt fit-slim color-blue color_group-pale style-classic neckline-collar_button cut-narrow,0
product_type-shirt fit-slim cut-ruffle color-white color_group-pale neckline-collar_button style-occasion,0
product_type-shirt fit-super_skinny color-white color_group-pale neckline-collar_button style-going_out,0
product_type-shirt fabric-flannel fabric-cotton color-purple color-pattern color_group-dark color_group-pattern style-classic cut-pocket cut-cuff cut-one_button fit-classic_fit,0
product_type-shirt fabric-flannel fabric-cotton color-purple color-pattern color_group-dark color_group-pattern style-classic cut-pocket cut-cuff cut-one_button fit-classic_fit,0
product_type-shirt fit-slim fabric-poplin neckline-collar_button cut-narrow,0
product_type-shirt fit-skinny fabric-sateen fabric-sequin cut-bib cut-concealed_button color-white color_group-pale neckline-point_collar style-occasion,0
product_type-shirt fit-slim fit-slim_tapered fabric-twill neckline-collar color-white color_group-pale cut-concealed_button style-occasion,0
product_type-shirt fabric-cotton sleeve_style-long_sleeve cut-button neckline-point_collar neckline-collar_button fit-regular_fit style-classic color-blue,0
