,parent_type,product_type,gender,dress_codes,percentages,counts,total_count
173,dress,skater dress,Female,"[""beach"",""business formal"",""creative black tie"",""cocktail"",""dressy casual"",""active"",""casual""]","['0.11%', '0.43%', '17.39%', '3.05%', '0.65%', '0.43%', '77.95%']","[3, 12, 484, 85, 18, 12, 2170]",2784
174,pants,pleated pants,Female,"[""dressy casual"",""casual""]","['9.09%', '90.91%']","[1, 10]",11
175,overall,overall,Male,"[""casual""]",['100.0%'],[14],14
176,shirt,button-down shirt,Male,"[""active"",""dressy casual"",""creative black tie"",""casual"",""business formal""]","['3.46%', '15.07%', '0.74%', '69.41%', '11.32%']","[47, 205, 10, 944, 154]",1360
177,bodysuit,bodysuit,Female,"[""dressy casual"",""beach"",""casual"",""active""]","['10.71%', '7.14%', '17.86%', '64.29%']","[6, 4, 10, 36]",56
178,track suit,track suit,Female,"[""casual"",""active"",""beach""]","['77.78%', '16.67%', '5.56%']","[28, 6, 2]",36
179,shirt,t-shirt,Male,"[""black tie"",""festive"",""beach"",""white tie"",""business formal"",""casual"",""cocktail"",""dressy casual"",""active""]","['0.0%', '0.05%', '0.31%', '0.01%', '64.77%', '26.13%', '0.02%', '1.96%', '6.74%']","[2, 52, 294, 5, 61274, 24722, 20, 1855, 6374]",94598
180,trousers,popper trousers,Female,"[""casual""]",['100.0%'],[1],1
181,top,breton top,Female,"[""casual""]",['100.0%'],[228],228
182,dress,shirt dress,Female,"[""business formal"",""black tie"",""dressy casual"",""cocktail"",""creative black tie"",""beach"",""business casual"",""casual""]","['0.44%', '0.41%', '7.91%', '0.95%', '1.3%', '0.19%', '0.25%', '88.55%']","[14, 13, 250, 30, 41, 6, 8, 2800]",3162
183,top,top,Unisex,"[""casual""]",['100.0%'],[2],2
184,pants,tuxedo trousers,Male,"[""business formal"",""dressy casual""]","['16.67%', '83.33%']","[2, 10]",12
185,hoodie,hoodie,Male,"[""beach"",""creative black tie"",""business formal"",""casual"",""festive"",""dressy casual"",""active""]","['0.06%', '9.46%', '2.82%', '38.34%', '0.12%', '0.49%', '48.71%']","[2, 312, 93, 1264, 4, 16, 1606]",3297
186,pajama,pajama set,Female,"[""active"",""festive"",""cocktail"",""casual""]","['5.0%', '65.0%', '5.0%', '25.0%']","[2, 26, 2, 10]",40
187,sweater,cardigan,Female,"[""active"",""dressy casual"",""cocktail"",""casual""]","['0.62%', '3.73%', '0.62%', '95.03%']","[2, 12, 2, 306]",322
188,jeans,jeans,Female,"[""business formal"",""white tie"",""cocktail"",""dressy casual"",""casual"",""active""]","['0.07%', '0.2%', '1.01%', '37.4%', '60.33%', '0.98%']","[2, 6, 30, 1106, 1784, 29]",2957
189,sweater,jumper,Female,"[""festive"",""active"",""business formal"",""casual"",""beach"",""dressy casual"",""cocktail""]","['2.67%', '4.74%', '0.24%', '85.79%', '0.24%', '2.91%', '3.4%']","[44, 78, 4, 1413, 4, 48, 56]",1647
190,pants,beach pants,Female,"[""active"",""casual""]","['18.0%', '82.0%']","[27, 123]",150
191,pants,cargo pants,Male,"[""casual"",""dressy casual"",""active""]","['95.81%', '0.21%', '3.97%']","[1350, 3, 56]",1409
192,jeans,carpenter jeans,Female,"[""dressy casual""]",['100.0%'],[2],2
193,jumper,knit jumper,Female,"[""business formal"",""cocktail"",""active"",""casual""]","['2.53%', '1.9%', '4.43%', '91.14%']","[8, 6, 14, 288]",316
194,skirt,a line skirt,Female,"[""creative black tie"",""casual"",""business formal"",""cocktail"",""dressy casual""]","['0.45%', '54.02%', '23.21%', '5.36%', '16.96%']","[1, 121, 52, 12, 38]",224
195,pants,pants,Male,"[""business casual"",""casual"",""active"",""business formal"",""creative black tie"",""dressy casual""]","['0.04%', '76.46%', '8.63%', '11.3%', '0.21%', '3.37%']","[1, 1861, 210, 275, 5, 82]",2434
196,dress,kimono dress,Female,"[""cocktail"",""creative black tie"",""dressy casual"",""casual"",""business formal""]","['1.19%', '57.74%', '1.79%', '36.31%', '2.98%']","[2, 97, 3, 61, 5]",168
197,top,top,Female,"[""festive"",""white tie"",""creative black tie"",""business formal"",""cocktail"",""casual"",""beach"",""active"",""dressy casual""]","['0.12%', '0.36%', '0.72%', '0.39%', '6.46%', '35.91%', '4.22%', '40.22%', '11.59%']","[4, 12, 24, 13, 214, 1190, 140, 1333, 384]",3314
198,romper,playsuit,Female,"[""business formal"",""active"",""casual"",""cocktail"",""beach"",""dressy casual""]","['1.77%', '0.67%', '85.14%', '8.2%', '1.33%', '2.88%']","[16, 6, 768, 74, 12, 26]",902
199,swimwear,swimwear,Female,"[""beach""]",['100.0%'],[2],2
200,shirt,football jersey,Female,"[""active""]",['100.0%'],[40],40
201,jeans,drop crotch jeans,Male,"[""casual"",""dressy casual""]","['66.67%', '33.33%']","[4, 2]",6
202,shirt,shell top,Female,"[""active"",""dressy casual"",""casual""]","['5.77%', '7.69%', '86.54%']","[3, 4, 45]",52
203,pants,popper pants,Female,"[""casual"",""active""]","['50.0%', '50.0%']","[2, 2]",4
204,pants,trousers,Male,"[""white tie"",""casual"",""dressy casual"",""business formal"",""creative black tie"",""active""]","['0.05%', '22.97%', '70.13%', '1.39%', '1.16%', '4.3%']","[2, 972, 2968, 59, 49, 182]",4232
205,pants,breeches,Male,"[""active""]",['100.0%'],[8],8
206,shirt,gym vest,Male,"[""active""]",['100.0%'],[29],29
207,dress,shift dress,Female,"[""active"",""festive"",""cocktail"",""white tie"",""business casual"",""creative black tie"",""dressy casual"",""beach"",""black tie"",""business formal"",""casual""]","['0.07%', '0.07%', '3.8%', '0.46%', '1.11%', '8.48%', '9.79%', '0.33%', '0.03%', '1.11%', '74.75%']","[2, 2, 116, 14, 34, 259, 299, 10, 1, 34, 2283]",3054
208,track suit,track suit,Male,"[""casual"",""active"",""dressy casual""]","['69.57%', '28.99%', '1.45%']","[96, 40, 2]",138
209,jeans,girlfriend jeans,Female,"[""dressy casual"",""casual""]","['54.55%', '45.45%']","[6, 5]",11
210,suit,suit,Female,"[""dressy casual""]",['100.0%'],[2],2
211,pants,training pants,Male,"[""active""]",['100.0%'],[17],17
212,shirt,polo shirt,Female,"[""business formal"",""active"",""casual"",""dressy casual""]","['9.65%', '14.15%', '48.23%', '27.97%']","[60, 88, 300, 174]",622
213,suit,tuxedo suit,Male,"[""business formal""]",['100.0%'],[6],6
214,trousers,training trousers,Female,"[""active""]",['100.0%'],[32],32
215,skirt,skater skirt,Female,"[""casual"",""dressy casual""]","['85.71%', '14.29%']","[30, 5]",35
